"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q1",111.000863644,
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q2",103.2,
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q3",106.8,
"AUS","QGDP","VOLIDX","IDX","Q","2020-Q4",110.5,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q1",112.6,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q2",113.3,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q3",111.2,
"AUS","QGDP","VOLIDX","IDX","Q","2021-Q4",115.5,
"AUS","QGDP","VOLIDX","IDX","Q","2022-Q1",116.3,
"AUS","QGDP","VOLIDX","IDX","Q","2022-Q2",117.4,
"AUT","QGDP","VOLIDX","IDX","Q","2020-Q1",105.5,
"AUT","QGDP","VOLIDX","IDX","Q","2020-Q2",93.6,
"AUT","QGDP","VOLIDX","IDX","Q","2020-Q3",104.1,
"AUT","QGDP","VOLIDX","IDX","Q","2020-Q4",102.2,
"AUT","QGDP","VOLIDX","IDX","Q","2021-Q1",101.1,
"AUT","QGDP","VOLIDX","IDX","Q","2021-Q2",105.3,
"AUT","QGDP","VOLIDX","IDX","Q","2021-Q3",109.8,
"AUT","QGDP","VOLIDX","IDX","Q","2021-Q4",108.4,
"AUT","QGDP","VOLIDX","IDX","Q","2022-Q1",109.8,
"AUT","QGDP","VOLIDX","IDX","Q","2022-Q2",111.9,
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q1",104.6,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q2",92.4,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q3",103.4,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2020-Q4",103.3,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2021-Q1",104.7,"P"
"BEL","QGDP","VOLIDX","IDX","Q","2021-Q2",106.5,"P"
